"name","hour","ts","max_high"
"BYND","09","2021-05-11 09:55:00-04:00","104.70999908447266"
"BYND","10","2021-05-11 10:55:00-04:00","106.46099853515625"
"BYND","11","2021-05-11 11:55:00-04:00","107.69499969482422"
"BYND","12","2021-05-11 12:55:00-04:00","108.83999633789062"
"BYND","13","2021-05-11 13:45:00-04:00","110.66000366210938"
"BYND","14","2021-05-11 14:50:00-04:00","110.69999694824219"
"BYND","14","2021-05-11 14:45:00-04:00","110.69999694824219"
"BYND","14","2021-05-11 14:55:00-04:00","110.69999694824219"
"BYND","15","2021-05-11 15:30:00-04:00","110.68000030517578"
"DDOG","09","2021-05-11 09:55:00-04:00","77.04000091552734"
"DDOG","10","2021-05-11 10:20:00-04:00","77.4800033569336"
"DDOG","11","2021-05-11 11:45:00-04:00","78.61000061035156"
"DDOG","12","2021-05-11 12:00:00-04:00","78.56500244140625"
"DDOG","13","2021-05-11 13:40:00-04:00","79.0999984741211"
"DDOG","14","2021-05-11 14:25:00-04:00","78.875"
"DDOG","15","2021-05-11 15:50:00-04:00","78.75"
"FB","09","2021-05-11 09:55:00-04:00","303.8599853515625"
"FB","10","2021-05-11 10:00:00-04:00","303.8699951171875"
"FB","11","2021-05-11 11:35:00-04:00","305.8399963378906"
"FB","12","2021-05-11 12:05:00-04:00","306.5893859863281"
"FB","13","2021-05-11 13:40:00-04:00","306.4599914550781"
"FB","14","2021-05-11 14:25:00-04:00","306.8299865722656"
"FB","15","2021-05-11 15:25:00-04:00","306.8399963378906"
"NFLX","09","2021-05-11 09:55:00-04:00","492.1199951171875"
"NFLX","10","2021-05-11 10:00:00-04:00","492.2749938964844"
"NFLX","11","2021-05-11 11:35:00-04:00","495.3291015625"
"NFLX","12","2021-05-11 12:05:00-04:00","495.9700012207031"
"NFLX","13","2021-05-11 13:25:00-04:00","496.82000732421875"
"NFLX","14","2021-05-11 14:25:00-04:00","497.989990234375"
"NFLX","15","2021-05-11 15:50:00-04:00","496.6700134277344"
"NFLX","15","2021-05-11 15:25:00-04:00","496.6700134277344"
"OKTA","09","2021-05-11 09:50:00-04:00","231.4600067138672"
"OKTA","10","2021-05-11 10:00:00-04:00","231.82000732421875"
"OKTA","11","2021-05-11 11:50:00-04:00","239.22999572753906"
"OKTA","12","2021-05-11 12:15:00-04:00","238.72999572753906"
"OKTA","13","2021-05-11 13:20:00-04:00","240.52999877929688"
"OKTA","14","2021-05-11 14:25:00-04:00","239.49989318847656"
"OKTA","15","2021-05-11 15:15:00-04:00","238.2100067138672"
"PINS","09","2021-05-11 09:55:00-04:00","58.779998779296875"
"PINS","10","2021-05-11 10:05:00-04:00","58.65999984741211"
"PINS","11","2021-05-11 11:55:00-04:00","59.4900016784668"
"PINS","12","2021-05-11 12:15:00-04:00","59.80500030517578"
"PINS","13","2021-05-11 13:35:00-04:00","60.029998779296875"
"PINS","14","2021-05-11 14:50:00-04:00","60.20000076293945"
"PINS","15","2021-05-11 15:45:00-04:00","60.34000015258789"
"SHOP","09","2021-05-11 09:55:00-04:00","1076.5799560546875"
"SHOP","10","2021-05-11 10:00:00-04:00","1076.5"
"SHOP","11","2021-05-11 11:30:00-04:00","1104.300048828125"
"SHOP","12","2021-05-11 12:00:00-04:00","1101.4000244140625"
"SHOP","13","2021-05-11 13:45:00-04:00","1117.989990234375"
"SHOP","14","2021-05-11 14:50:00-04:00","1116.0"
"SHOP","15","2021-05-11 15:20:00-04:00","1121.5899658203125"
"SNAP","09","2021-05-11 09:55:00-04:00","52.63999938964844"
"SNAP","10","2021-05-11 10:00:00-04:00","52.630001068115234"
"SNAP","11","2021-05-11 11:55:00-04:00","52.25"
"SNAP","12","2021-05-11 12:00:00-04:00","52.54999923706055"
"SNAP","13","2021-05-11 13:35:00-04:00","52.66999816894531"
"SNAP","14","2021-05-11 14:50:00-04:00","53.27000045776367"
"SNAP","15","2021-05-11 15:45:00-04:00","53.650001525878906"
"SQ","09","2021-05-11 09:55:00-04:00","215.50999450683594"
"SQ","10","2021-05-11 10:00:00-04:00","215.5"
"SQ","11","2021-05-11 11:55:00-04:00","219.94000244140625"
"SQ","12","2021-05-11 12:10:00-04:00","221.4730987548828"
"SQ","13","2021-05-11 13:35:00-04:00","221.77999877929688"
"SQ","14","2021-05-11 14:30:00-04:00","221.40499877929688"
"SQ","15","2021-05-11 15:55:00-04:00","221.0399932861328"
"TTD","09","2021-05-11 09:40:00-04:00","494.8399963378906"
"TTD","10","2021-05-11 10:00:00-04:00","490.8999938964844"
"TTD","11","2021-05-11 11:50:00-04:00","494.5"
"TTD","12","2021-05-11 12:00:00-04:00","491.44000244140625"
"TTD","13","2021-05-11 13:35:00-04:00","497.2200012207031"
"TTD","14","2021-05-11 14:45:00-04:00","508.6698913574219"
"TTD","15","2021-05-11 15:50:00-04:00","515.5313110351562"
